,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
43,Bijou,,"1 ozSweet Vermouth, 1 ozGin, 1 ozGreen Chartreuse, 1 dashOrange Bitters, ","Stir in mixing glass with ice and strain
",Alcoholic,Cocktail
44,Boxcar,,"1 Egg white, 1/2 tsp Grenadine, 1 tsp Lemon juice, 1 oz Triple sec, 1 1/2 oz Gin, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Alcoholic,Ordinary Drink
45,Big Red,,"1/2 oz Goldschlager, 1/2 oz Irish cream, ",Pour ingredients into 1 ounce shot glass,Alcoholic,Shot
46,Bellini,"ContemporaryClassic,IBA","1 oz Peach schnapps, 6 oz Champagne, ","Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Alcoholic,Ordinary Drink
47,Bramble,"IBA,NewEra","1.5 clCreme de Mure, 1 clSugar syrup, 1.5 cllemon juice, 4 clGin, ","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Alcoholic,Ordinary Drink
48,Balmoral,,"2 dashes Bitters, 1/2 oz Dry Vermouth, 1/2 oz Sweet Vermouth, 1 1/2 oz Scotch, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
49,Bluebird,,"1 twist of Lemon peel, 1 Maraschino cherry, 2 dashes Bitters, 1/2 oz Blue Curacao, 1/2 oz Triple sec, 1 1/2 oz Gin, ","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Alcoholic,Ordinary Drink
50,Brooklyn,"Alcoholic,Sweet,DateNight,USA","1Maraschino Cherry, 3 dashesAngostura Bitters, 1/4 ozMaraschino Liqueur, 1 ozDry Vermouth, 2 ozRye Whiskey, ",Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,Alcoholic,Cocktail
51,Bora Bora,,"1 cl Grenadine, 1 cl Lemon juice, 6 cl Passion fruit juice, 10 cl Pineapple juice, ","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",Non alcoholic,Cocktail
52,Boomerang,,"1 Maraschino cherry, 1/2 tsp Maraschino liqueur, 2 dashes Bitters, 1/2 oz Dry Vermouth, 2 oz Gin, ","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",Alcoholic,Ordinary Drink
53,Barracuda,"IBA,NewEra","top up Prosecco,  1 dashLime Juice, 6 clPineapple Juice, 1.5 clGalliano, 4.5 clRum, ","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",Alcoholic,Ordinary Drink
54,Brigadier,,"1 ozCherry Heering, 1 ozGreen Chartreuse, 4 ozHot Chocolate, ",Mix ingredients in a warmed mug and stir.,Alcoholic,Cocktail
55,Broadside,,"cubesIce, 1 FreshWormwood, 3 dropsBitters, 1/2 shotScotch, 1 shot151 proof rum, ","Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",Alcoholic,Cocktail
56,Buccaneer,,"1 shot Bacardi Limon, 1 Corona, ",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,Alcoholic,Beer
57,Brain Fart,,"1 pint Rum, 1 small bottle Lemon juice, 2 L Surge, 2 L Mountain Dew, 1 fifth Smirnoff red label Vodka, 1 fifth Everclear, ",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,Alcoholic,Punch / Party Drink
58,Blackthorn,,"1 twist of Lemon peel, 1 1/2 oz Sloe gin, 1 oz Sweet Vermouth, ",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Alcoholic,Ordinary Drink
59,Bob Marley,,"1/2 oz Goldschlager, 1/2 oz Jägermeister, 1/2 oz Midori melon liqueur, ",Layer in a 2 oz shot glass or pony glass,Alcoholic,Shot
60,Bible Belt,,"2 oz Sour mix, 2 wedges Lime, 1/2 oz Triple sec, 2 oz Southern Comfort, ","Mix all ingredients, and pour over ice.",Alcoholic,Other / Unknown
61,Bubble Gum,,"1/4 Peach schnapps, 1/4 Orange juice, 1/4 Banana liqueur, 1/4 Vodka, ",Layer in order into a shot glass.,Alcoholic,Shot
62,Bumble Bee,,"1/3 oz Sambuca, 1/3 oz Kahlua, 1/3 oz Baileys irish cream, ","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",Alcoholic,Shot
63,Baby Eskimo,,"2 scoops Vanilla ice-cream, 8 oz Milk, 2 oz Kahlua, ","Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",Alcoholic,Shake
